participant,tp_ch,fp_ch,wp_ch,fp_pb,tp_pb,wp_pb
1,7,7,7,5,4,3
2,5,6,7,3,5,6
3,3,3,2,2,2,2
4,6,7,6,6,6,6
5,6,6,6,5,3,2
6,3,4,4,3,3,6
7,7,6,6,7,7,7
8,5,5,5,4,5,5
9,5,6,6,6,6,5
10,5,5,5,6,6,3
11,7,6,5,5,6,5
12,6,6,7,6,5,7
13,4,4,5,6,7,7
14,1,7,7,3,2,4
15,7,7,6,6,6,6
16,3,3,3,4,4,4
17,6,6,7,5,5,6
18,7,7,7,6,6,5
19,6,7,6,6,6,5
20,5,5,2,6,5,5
21,2,5,5,7,6,6
22,6,5,5,4,4,4
23,7,6,5,5,6,5
24,7,7,6,3,4,5
25,3,3,4,4,6,4
26,2,6,7,3,2,4
27,4,6,5,5,6,5
28,6,5,5,7,7,7
29,6,5,6,6,6,5
30,6,5,6,6,6,6
