participant,tp_chiken,fp_ chiken,wp_ chiken,fp_pb,tp_pb,wp_pb
1,9.40E+01,8.65E+01,8.31E+01,81.90175,79.48623,7.80E+01
3,8.79E+01,1.03E+02,9.01E+01,88.83703,83.46354,8.28E+01
4,1.03E+02,1.04E+02,8.76E+01,89.20813,91.1038,8.62E+01
5,6.60E+01,6.84E+01,7.11E+01,69.92252,66.57761,6.93E+01
6,9.61E+01,9.14E+01,8.19E+01,83.42579,82.3902,8.44E+01
7,1.07E+02,1.07E+02,9.85E+01,113.3076,108.6912,1.07E+02
8,1.07E+02,1.07E+02,9.85E+01,113.3076,108.6912,1.07E+02
9,8.60E+01,7.22E+01,7.19E+01,73.05855,89.49672,8.87E+01
10,7.34E+01,7.65E+01,7.47E+01,75.42766,75.69473,7.65E+01
11,7.62E+01,7.46E+01,7.71E+01,81.36778,73.3448,6.77E+01
14,8.18E+01,7.70E+01,6.77E+01,70.65404,66.73172,6.74E+01
15,7.67E+01,7.78E+01,7.61E+01,73.99325,74.03801,7.63E+01
16,8.54E+01,7.65E+01,7.23E+01,64.68522,68.67461,6.71E+01
17,7.70E+01,8.28E+01,7.70E+01,69.97627,78.03553,7.21E+01
18,9.25E+01,9.13E+01,8.34E+01,78.95512,82.76075,8.24E+01
19,7.68E+01,8.14E+01,7.71E+01,77.94934,80.59325,7.31E+01
21,6.75E+01,7.10E+01,6.91E+01,68.56169,68.67227,6.96E+01
22,6.91E+01,7.77E+01,6.42E+01,58.4619,52.6417,5.43E+01
24,8.09E+01,8.91E+01,8.24E+01,72.29105,73.37124,7.60E+01
25,7.31E+01,7.29E+01,6.76E+01,69.36873,70.21933,6.93E+01
26,8.20E+01,7.70E+01,6.77E+01,70.65404,66.73172,6.74E+01
27,7.76E+01,8.28E+01,7.70E+01,69.97627,78.03553,7.21E+01
28,7.32E+01,7.29E+01,6.76E+01,69.36873,70.21933,6.93E+01
29,75.55104,86.1099,83.68473,79.09813,81.6348,85.74314
30,74.65104,86.1099,83.68473,79.09813,81.6348,85.74314
