participant,tp_ch,fp_ch,wp_ch,fp_pb,tp_pb,wp_pb
1,4.32E-14,5.85E-13,3.32E-09,1.45E-13,3.62E-12,1.78E-10
2,3.60E-13,4.92E-13,5.26E-13,4.53E-13,3.49E-13,3.20E-13
3,2.64E-13,1.04E-13,1.09E-13,1.06E-13,1.04E-13,1.05E-13
4,1.45E-13,1.64E-13,1.43E-13,1.31E-13,1.17E-13,1.20E-13
5,9.31E-14,3.35E-42,1.43E-13,1.39E-36,1.39E-36,1.39E-36
6,3.18E-14,6.54E-14,6.09E-14,7.77E-14,6.58E-14,3.71E-14
7,1.99E-13,8.00E-14,3.91E-14,3.86E-13,2.89E-14,5.17E-14
8,1.40E-37,1.52E-41,5.53E-16,1.52E-41,1.55E-13,5.29E-41
9,1.07E-13,1.04E-13,1.10E-13,1.08E-13,1.10E-13,1.07E-13
10,1.68E-13,1.67E-13,1.72E-13,1.74E-13,1.76E-13,1.66E-13
11,3.62E-13,3.66E-13,3.47E-13,3.35E-13,3.39E-13,3.32E-13
12,1.79E-11,1.58E-11,1.19E-11,8.69E-12,2.02E-11,7.12E-12
13,3.47E-14,1.51E-14,3.51E-14,5.49E-15,3.01E-14,3.15E-14
14,7.25E-27,8.35E-24,1.38E-29,1.39E-36,5.84E-14,2.40E-15
15,3.21E-38,6.17E-42,5.45E-14,1.40E-13,1.57E-39,2.14E-41
16,1.30E-15,9.52E-32,7.69E-30,6.28E-23,1.55E-15,9.51E-32
17,1.02E-13,1.07E-13,1.03E-13,1.01E-13,1.07E-13,1.07E-13
18,1.39E-11,1.34E-11,1.54E-11,8.21E-12,1.59E-11,1.70E-11
19,1.99E-13,2.01E-13,1.86E-13,1.82E-10,2.02E-13,1.89E-13
20,3.28E-13,4.10E-13,3.91E-13,3.60E-13,3.36E-13,3.47E-13
21,1.39E-36,3.81E-41,1.04E-31,1.61E-13,1.12E-14,3.40E-15
22,2.76E-14,8.31E-14,5.30E-14,7.58E-14,9.14E-15,1.92E-14
23,8.82E-13,9.64E-13,1.28E-12,9.44E-13,8.68E-13,1.03E-31
25,6.00E-01,6.17E-42,5.45E-14,1.40E-13,1.57E-39,2.14E-41
26,1.00E-01,9.52E-32,7.69E-30,6.28E-23,1.55E-15,9.51E-32
27,9.00E-01,1.07E-13,1.03E-13,1.01E-13,1.07E-13,1.07E-13
28,8.80E-01,8.35E-24,1.38E-29,1.39E-36,5.84E-14,2.40E-15
30,2.37E-12,2.59E-12,1.75E-12,7.45E-13,2.87E-12,1.05E-13
